Highlight,Book Title,Book Author,Amazon Book ID,Note,Color,Tags,Location Type,Location,Highlighted at,Document tags
夏，帝将伐蜀，乃谋众曰：,【二十四史】05：晋书 - highlights,,,通知,,,,0,2024-10-28 03:02:33+00:00,
以刘禅之暗，而边城外破，士女内震，其亡可知也。”征西将军邓艾以为未有衅，屡陈异议。帝患之，使主簿师纂为艾司马以喻之，艾乃奉命。,【二十四史】05：晋书 - highlights,,,反对自己：慢慢解释。,,,,0,2024-10-28 02:55:52+00:00,
将军邓敦谓蜀未可讨，帝斩以徇。,【二十四史】05：晋书 - highlights,,,反对自己：杀,,,,0,2024-10-28 02:56:00+00:00,
王舆屯云龙门，使伦为诏曰：“吾为孙秀等所误，以怒三王。今已诛秀，其迎太上复位，吾归老于农亩。”,【二十四史】05：晋书 - highlights,,,,,,page,10,2024-10-13 07:37:51+00:00,
每侍洪侧，辄量洪举措，取与不失机候。洪每曰：“此兒姿貌瑰伟，质性过人，非常相也,【二十四史】05：晋书 - highlights,,,,,,page,19,2024-10-24 16:03:24+00:00,
坚曰：“诚如公言，不敢忘德。”,【二十四史】05：晋书 - highlights,,,,,,page,19,2024-10-24 16:23:02+00:00,
健泣谓坚曰：“汝祖昔受此号，今汝复为神明所命，可不勉之！”坚挥剑捶马，志气感厉，士卒莫不惮服焉。,【二十四史】05：晋书 - highlights,,,,,,page,19,2024-10-24 16:27:07+00:00,
有经济大志，要结英豪，以图纬世之宜。,【二十四史】05：晋书 - highlights,,,有经世济民的远大志向，想要结交英豪，以图谋治理世事的适宜之法。,,,page,19,2024-10-24 16:35:29+00:00,
初，坚母以法长而贤，又得众心，惧终为变，至此，遣杀之。坚性仁友，与法决于东堂，恸哭呕血，赠以本官，谥曰哀，封其子阳为东海公，敷为清河公,【二十四史】05：晋书 - highlights,,,,,,page,19,2024-10-24 16:42:07+00:00,
臣闻夏、殷之都非不险也，周、秦之众非不多也，终于身窜南巢，首悬白旗，躯残于犬戎，国分于项籍昔何也？德之不修故耳。吴起有言：‘在德不在险。’深愿陛下追踪唐、虞，怀远以德，山河之固不足恃也。”坚大悦，乃还长安,【二十四史】05：晋书 - highlights,,,,,,page,19,2024-10-24 16:47:55+00:00,
臣父丞相有佐命之勋，而臣不免贫馁，所以图富也。”坚流涕谓阳曰：“哀公之薨，事不在朕，卿宁不知之！”让皮曰：“丞相临终，托卿以十具牛为田，不闻为卿求位。知子莫若父，何斯言之征也！”,【二十四史】05：晋书 - highlights,,,,,,page,19,2024-10-24 17:05:15+00:00,
坚曰：“二汉力不能制匈奴，犹出师西域。今匈奴既平，易若摧朽，虽劳师远役，可传檄而定，化被昆山，垂芳千载，不亦美哉！”朝臣又屡谏，皆不纳。,【二十四史】05：晋书 - highlights,,,,,,page,19,2024-10-24 17:28:56+00:00,
晋将军硃绰焚践沔北屯田，掠六百余户而还。坚引群臣会议，曰：“吾统承大业垂二十载，芟夷逋秽，四方略定，惟东南一隅未宾王化。吾每思天下不一，未尝不临食辍餔，今欲起天下兵以讨之。略计兵杖精卒，可有九十七万，吾将躬先启行，薄伐南裔，于诸卿意何如？”,【二十四史】05：晋书 - highlights,,,,,,page,19,2024-10-28 02:43:26+00:00,
坚大悦曰：“吾之志也。”,【二十四史】05：晋书 - highlights,,,,,,page,19,2024-10-28 02:54:12+00:00,
坚默然久之，曰：“诸君各言其志。”,【二十四史】05：晋书 - highlights,,,,,,page,19,2024-10-28 02:54:18+00:00,
愿保境养兵，伺其虚隙。,【二十四史】05：晋书 - highlights,,,,,,page,19,2024-10-28 02:59:27+00:00,
深愿厉兵积粟以待天时。,【二十四史】05：晋书 - highlights,,,,,,page,19,2024-10-28 02:59:41+00:00,
所谓筑室于道，沮计万端，吾当内断于心矣。,【二十四史】05：晋书 - highlights,,,,,,page,19,2024-10-28 03:00:54+00:00,
"草木为粮。

予亦何有，心惊若狂，乃与兄计，如何是常？兄云去此，各度凶荒。兄为我哭，我为兄伤，皇天白日，泣断心肠，兄弟异路，哀恸遥苍。",御制皇陵碑 - highlights,,,,,,page,1,2024-10-22 14:28:22+00:00,
"我何作为，百无所长，依亲自辱，仰天茫茫，既非可倚，侣影相将，朝突炊烟而急进，暮投古寺以趍跄，仰穷崖崔嵬而倚碧，听猿啼夜月而凄凉，魂悠悠而觅父母无有，志落魄而佒佯。

西风鹤唳，俄淅沥以飞霜，身如飘蓬逐风而不止，心滚滚乎沸汤，一浮云乎三载，年方二十而强。",御制皇陵碑 - highlights,,,"老朱 已经和兄弟分开了。 
可是还想着「依亲」， 真的是 

穷途末路。",,,page,1,2024-10-22 14:37:19+00:00,
祸人者，莫如多,呻吟语（精）全二册--中华经典名著全本全注全译 - highlights,,,,,,page,14,2024-10-15 05:52:26+00:00,
易多者，莫如美,呻吟语（精）全二册--中华经典名著全本全注全译 - highlights,,,,,,page,14,2024-10-15 05:53:19+00:00,
不美则不令人多，不多则不令人败,呻吟语（精）全二册--中华经典名著全本全注全译 - highlights,,,"作者是这个逻辑啊。 
美 多 败",,,page,14,2024-10-15 05:55:45+00:00,
夫鱼见饵不见钩，虎见羊不见阱，猩猩见酒不见人，非不见也，迷于所美而不暇顾也。,呻吟语（精）全二册--中华经典名著全本全注全译 - highlights,,,利令智昏,,,page,14,2024-10-15 05:57:07+00:00,
曹操,宋本《十一家注孙子》,曹操等十一家,,Foo,pink,pink,order,5,2019-03-26 16:59:04+00:00,
兵因敌而制胜。,宋本《十一家注孙子》,曹操等十一家,,,pink,pink,order,18,2023-07-07 04:26:29.259264+00:00,
故校之以计，而索其情,宋本《十一家注孙子》,曹操等十一家,,,pink,pink,order,19,2023-07-11 14:36:30.947851+00:00,
尽知,宋本《十一家注孙子》,曹操等十一家,,,pink,pink,order,6,2022-02-05 12:55:00.004756+00:00,
势者，因利而制权也。,宋本《十一家注孙子》,曹操等十一家,,,pink,"pink,favorite",order,2,2019-03-26 12:42:07.220848+00:00,
故兵闻拙速，未睹巧之久也,宋本《十一家注孙子》,曹操等十一家,,"先谋害
再谋利！！
对于风险大，投入大的项目，怎么按？
闪击战！！",pink,pink,order,4,2022-02-05 12:53:05.178306+00:00,
孙子曰：兵者，国之大事,宋本《十一家注孙子》,曹操等十一家,,"富贵/贫贱
外在，人之立于世否？
内在是啥？


钱着，人之大事儿，贫富之门！！！",pink,pink,order,5,2022-06-08 07:01:22.988015+00:00,
必败,宋本《十一家注孙子》,曹操等十一家,,,pink,pink,order,6,2022-06-08 07:05:34.098382+00:00,
之。」,宋本《十一家注孙子》,曹操等十一家,,必败，这么肯定？？？,pink,pink,order,7,2022-06-08 07:05:37.422317+00:00,
故形兵之极，至于无形,宋本《十一家注孙子》,曹操等十一家,,,pink,pink,order,13,2022-06-13 10:28:06.076419+00:00,
胜,宋本《十一家注孙子》,曹操等十一家,,,pink,pink,order,15,2022-06-13 10:29:27.216199+00:00,
制胜,宋本《十一家注孙子》,曹操等十一家,,,pink,pink,order,16,2022-06-13 10:29:29.410649+00:00,
此兵家之胜，不可先传也。,宋本《十一家注孙子》,曹操等十一家,,"五事七计可以先传。记住就行。


不可先传是什么：诡道。

因敌而制胜。",pink,pink,order,8,2022-06-08 07:09:55.162133+00:00,
故经之以五事，校之以计，而索其情,宋本《十一家注孙子》,曹操等十一家,,"经之以事
校之以计",pink,pink,order,20,2023-07-14 00:01:50.460872+00:00,
计篇,宋本《十一家注孙子》,曹操等十一家,,"经之以事
校之以技
势外诡道",pink,pink,order,21,2023-07-14 00:18:05.775210+00:00,
故不尽知用兵之害者，则不能尽知用兵之利也。,宋本《十一家注孙子》,曹操等十一家,,"先谋害
再谋利！！

最大的害 是 消耗稀缺资源。",pink,,order,11,2022-06-08 07:19:37.676626+00:00,
善用兵者，役不再籍，粮不三载。,宋本《十一家注孙子》,曹操等十一家,,"原则上,
稀缺资源，不追加投入！

不救世。",pink,pink,order,12,2022-06-08 07:24:45.276530+00:00,
胜，久则钝兵挫锐,宋本《十一家注孙子》,曹操等十一家,,"大臣问苻坚，
为啥失败？
百战百胜？？

为啥 百战百胜为啥失败呢？",pink,pink,order,22,2023-09-30 02:39:16.436165+00:00,
「故杀敌者，怒也；」,宋本《十一家注孙子》,曹操等十一家,,对士兵来说， 怒很好。  对将军就不好。,pink,pink,order,23,2023-09-30 03:31:20.284472+00:00,
是谓胜敌而益强,宋本《十一家注孙子》,曹操等十一家,,"日本啊， 西方啊，

越大越强！！！！

得到  > 投入",pink,pink,order,24,2023-09-30 03:39:14.781066+00:00,
兵贵胜，不贵久,宋本《十一家注孙子》,曹操等十一家,,贵得 ， 贱失。,pink,pink,order,25,2023-09-30 03:41:08.403728+00:00,
故兵不顿，而利可全，此谋攻之法也。,宋本《十一家注孙子》,曹操等十一家,,空手套白狼！！！,pink,pink,order,26,2023-10-04 03:27:00.236640+00:00,
计利以听，乃为之势，以佐其外,宋本《十一家注孙子》,曹操等十一家,,,pink,pink,order,1,2019-03-26 12:41:04+00:00,
夫钝兵挫锐，屈力殚货，则诸侯乘其弊而起，虽有智者，不能善其后矣,宋本《十一家注孙子》,曹操等十一家,,"中国终于开通了被俄国拒绝25年的中哈萨克斯坦铁路。
中国在东北开通了10年的天然气石油合约。",pink,pink,order,10,2022-06-08 07:11:43.022330+00:00,
魏延字文长,三国志,陈寿撰,,,green,green,,0,2019-03-18 17:16:48+00:00,
同郡吏父怜其家贫，资给甚厚，艾初不称谢,三国志,陈寿撰,,"为什么不 初 感谢呢？？？？
尊严？？？
vs
今天的送温暖",pink,pink,order,14,2023-07-27 00:17:25.530278+00:00,
载祸而归,三国志,陈寿撰,,"说：诸葛恪  就是 说士载自己啊！

判断极其精准！！

他自己也是。司马懿，司马师，司马昭


我说，我爸超级愚昧，什么意思呢？就是 笃定！和神经病一样的 1000%的笃定。 不担当原因在于：爷爷太凶了！",pink,pink,order,22,2023-07-28 00:24:17.180481+00:00,
山高谷深，至为艰险，又粮运将匮，频于危殆。艾以毡自裹，推转而下。将士皆攀木缘崖，鱼贯而进,三国志,陈寿撰,,,pink,"green,pink",order,25,2023-08-01 00:22:39.402559+00:00,
乃叱忠、纂等，将斩之。,三国志,陈寿撰,,邓艾，有岳飞 六亲不认的样子！,green,green,order,26,2023-08-01 00:30:19.116960+00:00,
无所虏略，绥纳降附，使复旧业，蜀人称焉,三国志,陈寿撰,,,pink,pink,order,27,2023-08-01 00:35:27.298197+00:00,
使于绵竹筑台以为京观，用彰战功。士卒死事者，皆与蜀兵同共埋藏。艾深自矜伐，谓蜀士大夫曰：“诸君赖遭某，故得有今日耳。若遇吴汉之徒，已殄灭矣。”又曰：“姜维自一时雄儿也，与某相值，故穷耳。”有识者笑之。,三国志,陈寿撰,,"这不是吕布吗？😂无我君危矣！

他说的都是对的！！！和吕布一样，说的，都是对的！",pink,pink,order,28,2023-08-02 00:34:53.674252+00:00,
云彻席卷，荡定巴蜀。虽白起破强楚，韩信克劲赵，吴汉禽子阳，亚夫灭七国，计功论美，不足比勋也。其以艾为太尉，增邑二万户，封子二人亭侯，各食邑千户。,三国志,陈寿撰,,,pink,pink,order,29,2023-08-02 04:30:25.428396+00:00,
南阳何晏、邓飏、李胜、沛国丁谧、东平毕轨咸有声名，进趣于时，明帝以其浮华，皆抑黜之；及爽秉政，乃复进叙，任为腹心。,三国志,陈寿撰,,,pink,pink,order,1,2022-05-09 11:32:14.904544+00:00,
①爽弟羲为中领军，训武卫将军，彦散骑常侍侍讲，其馀诸弟，皆以列侯侍从，出入禁闼，贵宠莫盛焉。,三国志,陈寿撰,,"和曹植一样，找一浮夸自以为聪明的杨修，一样。

那么，为什么这一类人，招人曹植/曹爽之类人喜欢？",pink,pink,order,2,2022-05-09 11:32:18.723319+00:00,
②飏与伟争于爽前，伟曰：“飏、胜将败国家事，可斩也。”爽不悦，乃引军还。③,三国志,陈寿撰,,,pink,pink,order,3,2022-05-09 11:39:15.626996+00:00,
羲深以为大忧，数谏止之。又著书三篇，陈骄淫盈溢之致祸败，辞旨甚切，不敢斥爽，托戒诸弟以示爽。爽知其为己发也，甚不悦。羲或时以谏喻不纳，涕泣而起。,三国志,陈寿撰,,,blue,blue,order,5,2022-05-09 11:43:26.873490+00:00,
爽得宣王奏事，不通，迫窘不知所为。①大司农沛国桓范闻兵起，不应太后召，矫诏开平昌门，拔取剑戟，略将门候，南奔爽。宣王知，曰：“范画策，爽必不能用范计。”范说爽使车驾幸许昌，招外兵。爽兄弟犹豫未决，范重谓羲曰：“当今日，卿门户求贫贱复可得乎？且匹夫持质一人，尚欲望活，今卿与天子相随，令于天下，谁敢不应者？”羲犹不能纳。侍中许允、尚书陈泰说爽，使早自归罪。爽于是遣允、泰诣宣王，归罪请死，乃通宣王奏事。②遂免爽兄弟，以侯还第。③,三国志,陈寿撰,,,pink,pink,order,6,2022-05-09 11:44:59.167770+00:00,
奏爽曰：“臣昔从辽东还，先帝诏陛下,三国志,陈寿撰,,死马最强说服文,pink,pink,order,7,2022-05-09 11:45:19.804045+00:00,
①江表传曰：初，权谓蒙及蒋钦曰：“卿今并当涂掌事，宜学问以自开益。”蒙曰：“在军中常苦多务，恐不容复读书。”,三国志,陈寿撰,,,pink,pink,order,56,2023-08-24 00:50:15.396816+00:00,
斯人长而好学，读左传略皆上口，梗亮有雄气，然性颇自负，好陵人。今与为对，当有单复以鄉待之,三国志,陈寿撰,,,pink,pink,order,57,2023-08-24 01:17:27.690644+00:00,
肃意尚轻蒙，或说肃曰：“吕将军功名日显，不可以故意待也，君宜顾之。”遂往诣蒙。酒酣，蒙问肃曰：“君受重任，与关羽为邻，将何计略，以备不虞？”肃造次应曰：“临时施宜。”蒙曰：“今东西虽为一家，而关羽实熊虎也，计安可不豫定？”因为肃画五策。肃于是越席就之，拊其背曰：“吕子明，吾不知卿才略所及乃至于此也。”遂拜蒙母，结友而别。,三国志,陈寿撰,,"吕蒙 真的练习独孤九剑！

所有的 劣势都变成优势。

有困难要上！ 这就是 ：有困难要上吗？",pink,pink,order,41,2023-08-21 01:06:17.107117+00:00,
蒙曰：“贫贱难可居，脱误有功，富贵可致。且不探虎穴，安得虎子？,三国志,陈寿撰,,"有困难要上！！！
@zl  “万一成功了呢？”",pink,"pink,favorite",order,43,2023-08-21 01:07:57.979780+00:00,
时蒙与成当、宋定、徐顾屯次比近，三将死，子弟幼弱，权悉以兵并蒙。蒙固辞，陈启顾等皆勤劳国事，子弟虽小，不可废也。书三上，权乃听。蒙于是又为择师，使辅导之，其操心率如此,三国志,陈寿撰,,,green,green,order,44,2023-08-21 01:10:58.692275+00:00,
②魏氏春秋曰：艾仰天叹曰：“艾忠臣也，一至此乎？白起之酷，复见于今日矣。”,三国志,陈寿撰,,,pink,pink,order,33,2023-08-02 10:30:27.743569+00:00,
世语曰：师纂亦与艾俱死。纂性急少恩，死之日体无完皮。,三国志,陈寿撰,,,pink,pink,order,34,2023-08-02 23:32:42.822595+00:00,
艾性刚急，轻犯雅俗，不能协同朋类，故莫肯理之。臣敢言艾不反之状,三国志,陈寿撰,,,pink,pink,order,35,2023-08-02 23:37:01.862254+00:00,
上下相感，莫不尽力,三国志,陈寿撰,,,pink,pink,order,37,2023-08-07 23:33:57.685898+00:00,
艾受命忘身，束马悬车，自投死地，勇气陵云，士众乘势，使刘禅君臣面缚，叉手屈膝,三国志,陈寿撰,,,pink,pink,order,38,2023-08-08 00:00:41.254644+00:00,
钟会忌艾威名，搆成其事。忠而受诛，信而见疑,三国志,陈寿撰,,,pink,pink,order,39,2023-08-08 00:01:56.133564+00:00,
天下汹汹，人怀危惧，陛下但为寄坐，岂得久安！此非先帝诏陛下及臣升御床之本意也。臣虽朽迈，敢忘往言？昔赵高极意，秦氏以灭；吕、霍早断，汉祚永世。此乃陛下之大鉴，臣受命之时也。太尉臣济、尚书令臣孚等，皆以爽为有无君之心，兄弟不宜典兵宿卫，奏永宁宫。皇太后令敕臣如奏施行。,三国志,陈寿撰,,,pink,pink,order,9,2022-05-09 12:04:56.567097+00:00,
初，爽以宣王年德并高，恒父事之，不敢专行。及晏等进用，咸共推戴，说爽以权重不宜委之于人。,三国志,陈寿撰,,.h1,pink,"h1,pink",order,9,2022-05-09 12:37:56.115005+00:00,
爽字昭伯，少以宗室谨重，明帝在东宫，甚亲爱之。,三国志,陈寿撰,,.h1,pink,"pink,h1",order,10,2022-05-09 12:40:52.110974+00:00,
天下汹汹，人怀危惧，陛下但为寄坐，岂得久安！此非先帝诏陛下及臣升御床之本意也。臣虽朽迈，敢忘往言？昔赵高极意，秦氏以灭；吕、霍早断，汉祚永世。此乃陛下之大鉴，臣受命之时也。太尉臣济、尚书令臣孚等，皆以爽为有无君之心，兄弟不宜典兵宿卫，奏永宁宫。皇太后令敕臣如奏施行。臣辄敕主者及黄门令罢爽、羲、训吏兵，以侯就第，不得逗留以稽车驾；敢有稽留，便以军法从事。臣辄力疾将兵屯洛水浮桥，伺察非常,三国志,陈寿撰,,,pink,pink,order,11,2022-07-02 08:42:48.873798+00:00,
诸将以兵少不足分，蒙谓瑜、普曰：“留凌公绩，蒙与君行，解围释急,三国志,陈寿撰,,"有困难要上！
勇！

很勇！！！",pink,pink,order,42,2023-08-21 01:07:14.980053+00:00,
后从权拒曹公于濡须，数进奇计，又劝权夹水口立坞，所以备御甚精，①曹公不能下而退。,三国志,陈寿撰,,,pink,pink,order,45,2023-08-21 23:22:35.597047+00:00,
玄之见普，具宣蒙意，普惧而听之,三国志,陈寿撰,,害,pink,pink,order,46,2023-08-21 23:35:19.033705+00:00,
须臾普出，蒙迎执其手，与俱下船。语毕，出书示之，因拊手大笑。普见书，知备在公安，而羽在益阳，惭恨入地。,三国志,陈寿撰,,兵不厌诈。,pink,pink,order,47,2023-08-21 23:37:11.915063+00:00,
与关羽分土接境，知羽骁雄，有并兼心，且居国上流，其势难久。,三国志,陈寿撰,,,pink,pink,order,48,2023-08-21 23:39:19.105455+00:00,
蒙乃密陈计策曰：“令征虏守南郡，潘璋住白帝，蒋钦将游兵万人，循江上下，应敌所在，蒙为国家前据襄阳，如此，何忧于操，何赖于羽？且羽君臣，矜其诈力，所在反覆，不可以腹心待也。今羽所以未便东向者，以至尊圣明，蒙等尚存也。今不于强壮时图之，一旦僵仆，欲复陈力，其可得邪？”权深纳其策，又聊复与论取徐州意，蒙对曰：“今操远在河北，新破诸袁，抚集幽、冀，未暇东顾。徐土守兵，闻不足言，往自可克。然地势陆通，骁骑所骋，至尊今日得徐州，操后旬必来争，虽以七八万人守之，犹当怀忧。不如取羽，全据长江，形势益张。”权尤以此言为当。及蒙代肃，初至陆口，外倍修恩厚，与羽结好。,三国志,陈寿撰,,看别人是哈，心里就是啥,pink,pink,order,49,2023-08-21 23:43:39.982426+00:00,
蒙入据城，尽得羽及将士家属，皆抚慰，约令军中不得干历人家，有所求取。蒙麾下士，是汝南人，取民家一笠，以覆官铠，官铠虽公，蒙犹以为犯军令，不可以乡里故而废法，遂垂涕斩之。,三国志,陈寿撰,,,pink,pink,order,50,2023-08-21 23:49:25.837276+00:00,
羽人还，私相参讯，咸知家门无恙，见待过于平时，故羽吏士无斗心。会权寻至，羽自知孤穷，乃走麦城，西至漳乡，众皆委羽而降。权使朱然、潘璋断其径路，即父子俱获，荆州遂定。,三国志,陈寿撰,,,pink,pink,order,51,2023-08-21 23:50:54.753114+00:00,
蒙少不修书传，每陈大事，常口占为笺疏。常以部曲事为江夏太守蔡遗所白，蒙无恨意。及豫章太守顾邵卒，权问所用，蒙因荐遗奉职佳吏，权笑曰：“君欲为祁奚耶？”于是用之。甘宁粗暴好杀，既常失蒙意，又时违权令，权怒之，蒙辄陈请：“天下未定，斗将如宁难得，宜容忍之。”权遂厚宁，卒得其用。,三国志,陈寿撰,,,pink,pink,order,52,2023-08-22 00:12:33.898934+00:00,
周公不求备于一人，故孤忘其短而贵其长，常以比方邓禹也。,三国志,陈寿撰,,,pink,pink,order,53,2023-08-22 00:14:51.989079+00:00,
初虽轻果妄杀，终于克己，有国士之量，岂徒武将而已乎！,三国志,陈寿撰,,,pink,pink,order,54,2023-08-22 00:34:57.789496+00:00,
如卿二人，意性朗悟，学必得之，事当不为乎？宜急读孙子、六韬、左传、国语及三史。孔子言‘终日不食，终夜不寝以思，无益，不如学也。”光武当兵马之务，手不释卷。孟德亦自谓老而好学。卿何独不自勉勖邪？”,三国志,陈寿撰,,,pink,pink,order,55,2023-08-23 02:02:35.636889+00:00,
”蒙曰：“在军中常苦多务，恐不容复读书。”,三国志,陈寿撰,,,pink,pink,order,56,2023-08-23 02:02:40.594549+00:00,
卿言多务孰若孤,三国志,陈寿撰,,,pink,pink,order,58,2023-08-24 01:22:58.251508+00:00,
今蜀举众归命，地尽南海，东接吴会，宜早镇定。若待国命，往复道途，延引日月。春秋之义，大夫出疆，有可以安社稷，利国家，专之可也。今吴未宾，势与蜀连，不可拘常以失事机。兵法，进不求名，退不避罪，艾虽无古人之节，终不自嫌以损于国也。”钟会、胡烈、师纂等皆白艾所作悖逆，变衅以结。诏书槛车征艾,三国志,陈寿撰,,"你是无损于国家，
损于上级啊！！！",pink,pink,order,32,2023-08-02 04:42:09.999606+00:00,
邓艾字士载，义阳棘阳人也。少孤,三国志,陈寿撰,,,pink,pink,order,12,2023-07-27 00:12:25.978196+00:00,
以口吃，不得作干佐,三国志,陈寿撰,,不完美，不得求全责备,pink,pink,order,13,2023-07-27 00:14:08.292337+00:00,
时人多笑焉,三国志,陈寿撰,,,pink,pink,order,15,2023-07-27 00:18:12.171151+00:00,
且田且守,三国志,陈寿撰,,,pink,pink,order,16,2023-07-27 00:24:03.588638+00:00,
此则十万之众五年食也。以此乘吴，无往而不克矣。”宣王善之，事皆施行。,三国志,陈寿撰,,,pink,pink,order,17,2023-07-27 00:24:58.488242+00:00,
艾曰：“贼去未远，或能复还，宜分诸军以备不虞。,三国志,陈寿撰,,,pink,pink,order,18,2023-07-28 00:14:31.832193+00:00,
闻刘豹部有叛胡，可因叛割为二国，以分其势,三国志,陈寿撰,,厉害！因势利导！！！！,pink,pink,order,19,2023-07-28 00:17:23.684117+00:00,
去卑功显前朝，而子不继业，宜加其子显号，使居雁门。离国弱寇，追录旧勋，此御边长计也。,三国志,陈寿撰,,士载的推恩令！,pink,pink,order,20,2023-07-28 00:19:33.843326+00:00,
大将军司马景王新辅政，多纳用焉,三国志,陈寿撰,,"司马师：多纳
司马懿：事皆施行",pink,pink,order,21,2023-07-28 00:21:51.836051+00:00,
上无设爵之劝，则下无财畜之功,三国志,陈寿撰,,,pink,pink,order,23,2023-07-30 23:36:23.847984+00:00,
艾上言：“今贼摧折，宜遂乘之，从阴平由邪径经汉德阳亭趣涪，出剑阁西百里，去成都三百馀里，奇兵冲其腹心。剑阁之守必还赴涪，则会方轨而进；剑阁之军不还，则应涪之兵寡矣。军志有之曰：‘攻其无备，出其不意。’今掩其空虚，破之必矣。”,三国志,陈寿撰,,"厉不厉害！ 
灭国之功！
灭国之思！",pink,pink,order,24,2023-07-30 23:50:06.216573+00:00,
事当须报，不宜辄行,三国志,陈寿撰,,,pink,pink,order,30,2023-08-02 04:37:01.058130+00:00,
艾重言曰,三国志,陈寿撰,,,pink,pink,order,31,2023-08-02 04:37:29.671853+00:00,
矜功失节，实应大辟,三国志,陈寿撰,,,pink,pink,order,36,2023-08-02 23:38:56.117193+00:00,
故小国之虑，在于时立功以自存，大国之虑，在于既胜而力竭，成功之后，戒惧之时也,三国志,陈寿撰,,,pink,pink,order,40,2023-08-10 00:27:43.416612+00:00,
今日之会，可谓乐矣,三国志,陈寿撰,,,pink,pink,order,60,2024-03-21 08:24:29.233673+00:00,
伐人之国而以为欢，非仁者之兵也,三国志,陈寿撰,,,green,green,order,61,2024-03-21 08:24:51.591284+00:00,
醉，怒,三国志,陈寿撰,,,pink,pink,order,62,2024-03-21 08:26:25.361387+00:00,
武王伐纣，前歌后舞，非仁者邪？,三国志,陈寿撰,,,pink,pink,order,63,2024-03-22 08:51:30.800858+00:00,
“君臣俱失。”先主大笑，宴乐如初,三国志,陈寿撰,,,green,green,order,64,2024-03-22 08:51:54.860992+00:00,
晏等与廷尉卢毓素有不平，因毓吏微过，深文致毓法，使主者先收毓印绶，然后奏闻。其作威如此。爽饮食车服，拟于乘舆；尚方珍玩，充牣其家；妻妾盈后庭，又私取先帝才人七八人，及将吏、师工、鼓吹、良家子女三十三人，皆以为伎乐。,三国志,陈寿撰,,,green,"blue,green",order,4,2022-05-09 11:41:54.393694+00:00,
